95497,132987,16
95380,132968,15
95318,132926,19
95285,132938,13
95226,132952,19
95202,133010,9
95140,133095,15
95135,133112,16
95094,133128,12
95050,133161,21
95024,133253,18
95010,133377,18
94936,133394,19
94948,133402,16
94894,133347,21
94859,133304,16
94850,133323,16
94847,133341,15
94838,133289,11
94735,133027,21
94628,132679,14
94612,132691,14
94601,132721,15
94575,132730,10
94591,132779,22
94601,132857,14
94594,132912,15
94580,132911,14
94577,132920,13
94580,132968,31
94574,133037,14
94573,133089,18
94570,133131,16
94580,133181,14
94553,133197,75
94560,133209,15
94553,133213,16
94560,133289,16
94572,133353,11
94520,133196,20
94362,132772,12
94336,132623,14
94331,132612,16
94336,132639,17
94318,132647,20
94324,132666,20
94314,132762,15
94321,132775,12
94324,132767,14
94307,132777,21
94317,132829,18
94294,132888,11
94329,132924,15
94349,132995,12
94337,133008,19
94345,133031,15
94339,133049,15
94329,133091,25
94345,133096,11
94321,133073,21
94231,132765,20
94177,132594,17
94145,132586,38
94171,132596,13
94147,132601,20
94148,132604,19
94155,132639,14
94149,132648,13
94115,132635,22
94139,132679,21
94148,132701,18
94152,132733,17
94152,132764,13
94154,132774,27
94166,132854,18
94181,132873,17
94179,132890,15
94181,132942,12
94198,132982,13
94132,132807,21
94079,132635,19
94055,132569,11
94042,132570,11
94052,132580,10
94045,132606,19
94085,132630,19
94038,132652,13
94027,132655,14
94039,132660,10
94025,132690,20
94052,132721,18
94046,132752,9
94042,132831,13
94070,132893,10
94057,132944,19
94072,132970,16
94057,132946,12
94058,132957,14
94007,132740,8
93939,132606,15
93942,132603,13
93957,132656,10
94004,132861,13
94039,132966,10
94022,133002,14
94021,132966,15
94011,132907,9
93967,132856,7
93985,132857,11
93973,132904,18
94001,132955,14
94009,132987,9
93998,133026,13
93989,133016,7
93999,133094,16
94016,133128,15
93990,133043,7
93906,132761,14
93886,132636,17
93885,132747,15
93910,132805,14
93923,132841,8
93917,132900,14
93939,132952,9
93959,132946,8
93900,132914,16
93900,132922,7
93886,132942,13
93906,132942,6
93899,132957,10
93895,133005,14
93895,133015,8
93886,133047,14
93927,133141,6
93906,133169,14
93821,132866,61
93769,132665,6
93753,132669,17
93780,132706,6
93762,132757,14
93761,132742,33
93785,132820,7
93770,132826,16
93789,132834,7
93768,132872,10
93777,132876,13
93773,132914,42
93790,132992,17
93816,133037,7
93805,133102,14
93818,133132,15
93843,133208,11
93825,133262,65
93817,133114,10
93712,132818,16
93689,132727,18
93703,132779,14
93678,132839,13
93728,132886,12
93728,132949,19
93739,132978,22
93730,132958,17
93714,132953,20
93710,132889,11
93716,132994,20
93738,133066,23
93747,133117,20
93735,133150,17
93749,133152,25
93740,133200,20
93745,133211,28
93723,133119,21
93623,132798,21
93600,132691,22
93587,132694,16
93593,132766,28
93591,132786,18
93590,132811,19
93608,132828,22
93568,132851,20
93596,132816,28
93589,132839,23
93579,132857,19
93596,132882,23
93596,132948,20
93598,132956,34
93616,133009,20
93639,133112,20
93670,133202,21
93599,132988,23
93484,132673,27
93470,132636,32
93495,132669,19
93506,132698,21
93511,132732,19
93511,132767,23
93490,132754,14
93499,132759,20
93513,132764,21
93511,132789,21
